,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality
roc_upu,0.029427876823868875,0.022760885515980937,0.01323141490601985,0.07702377709514248,0.03760018580433461,0.06616662746749227,0.18634109467205853,0.08719522893453777,0.06798246103620237,0.06916255844319107
ap_upu,0.048096600741068536,0.08863857300962685,0.016888937852747688,0.19372189173913268,0.0858819509310849,0.06735259748458909,0.052930406727146606,0.06437151467845033,0.11357566862018467,0.022503045293587695
f1_upu,0.05105294546963788,0.0663485301031476,0.022052273128694466,0.15519809272585952,0.07065736589150207,0.04155840085269628,0.0793128641917107,0.09639093519491417,0.10048261946559708,0.05832572344556264
f1_ci_upu,0.04304937750417993,0.06374178775344903,0.017126345595033277,0.07856385281793611,0.06994459830228027,0.05152521664170228,0.07742901284775729,0.08816224906652387,0.0908409703409201,0.04637069827238124
f1_max_upu,0.050216266419117195,0.06209576494812541,0.01695024328581444,0.1444695706916216,0.06539920162803398,0.040390728466490576,0.09754164377837572,0.09700411656668138,0.09072519305955982,0.0596172008444768
roc_nnpu,0.01595708309779413,0.01642327103361076,0.014561288222590065,0.11789529557864518,0.03661729278597653,0.05050728068945515,0.16777447846699656,0.08831651668795983,0.03238685451923032,0.05840448485620771
ap_nnpu,0.05957820832568955,0.05430611108179717,0.014643965427017623,0.20225035752385773,0.07914893355391447,0.07944604184384857,0.08982990078548109,0.10074812231213795,0.10876391547239105,0.04071171643775868
f1_nnpu,0.04438754540517456,0.13393209495453384,0.012412946386229319,0.2176454453668138,0.10034565215428522,0.06050399087110132,0.0,0.07817294883591862,0.106481026309081,0.03621100071614547
f1_ci_nnpu,0.07472790054809333,0.07871465294853536,0.026291305616046663,0.23540476203464664,0.09895547313823334,0.06953844494146734,0.12325723823512436,0.10482979845799353,0.07882233504282332,0.07049210065606971
f1_max_nnpu,0.04985884628502265,0.07845759819397075,0.028522405450779487,0.22494888841939487,0.0754656480327702,0.06060172952115521,0.1411292118884473,0.11496069875208015,0.08193977031709185,0.07067112908480414
roc_imbnnpu,0.015248984912305454,0.016456595876768405,0.0169107245370545,0.0908562767487292,0.037899205684917184,0.03180556489131867,0.15988836797441505,0.07865720193490759,0.03680403866402018,0.07078248361134272
ap_imbnnpu,0.05676894986207244,0.054365131879783965,0.014313756893286548,0.183008660489624,0.09741013870356924,0.08075110548049881,0.09823096443140635,0.09708532884880376,0.11406051760634789,0.044375782133605726
f1_imbnnpu,0.04760087404596094,0.08540189343564171,0.010168780510134872,0.0,0.07304878421820028,0.07289865898846973,0.0,0.06857911056011275,0.08030472928651207,0.0
f1_ci_imbnnpu,0.07639078326334747,0.06353032652595615,0.03195822196354677,0.24775983547233624,0.10180677682281872,0.07040677577692221,0.13639520009537634,0.135591111294332,0.0952363443808668,0.08049215565461525
f1_max_imbnnpu,0.04647728843005697,0.06143690143707831,0.02311279801038384,0.15596733456649564,0.08318403710110281,0.05923498982711558,0.11883217487337593,0.09574796885816703,0.09112401462126682,0.06882782778681061
roc_dt_hd,0.03766467966539662,0.08275953180645985,0.023704470223811096,0.10210944021404764,0.059062761935574755,0.06589625497575491,0.04601924138082002,0.04795159392452287,0.06901995017550488,0.055006149968754574
ap_dt_hd,0.05384752114425429,0.15234220682686053,0.02344914116865073,0.2002825459958129,0.09646632875910527,0.06352983363234274,0.03367760399897398,0.032106850170427165,0.15150596566105912,0.011708973204951007
f1_dt_hd,0.06861117008437873,0.16006686394881178,0.01865342517641441,0.2670455540294532,0.07359260767409549,0.06345874118800035,0.11561537949934082,0.04816790804174818,0.15164641824518577,0.0223606797749979
f1_ci_dt_hd,0.08784980261180944,0.127887074147736,0.07560296923297478,0.2670455540294532,0.06872131117316935,0.06356872019005858,0.11561537949934082,0.08846731637566595,0.17247283101248684,0.05557565591338591
f1_max_dt_hd,0.058739218232175386,0.127887074147736,0.015452044142513473,0.2670455540294532,0.0714163818415729,0.053496664921584815,0.11561537949934082,0.0758832956487604,0.15381118280507294,0.05439026274633456
roc_dt_puhd,0.041565943046939474,0.053860747032828726,0.023530241954008633,0.11427284104288636,0.059487379540241886,0.06360366266096962,0.04972183528338814,0.05942358229453207,0.06358162530296346,0.05351797756055731
ap_dt_puhd,0.05224959799934244,0.12489027222396484,0.02256957910761418,0.2301587146646916,0.11529949441186668,0.06582040911060423,0.028393085464134805,0.06372447144992485,0.1516683918056866,0.01633841127032369
f1_dt_puhd,0.0,0.03410234394558827,0.0,0.270021194092206,0.0,0.006298783016314326,0.05590169943749474,0.0,0.019444069427895595,0.0
f1_ci_dt_puhd,0.06480353569321629,0.0829959549252234,0.047396499586534545,0.28705236417915103,0.09497286310178249,0.06620186955952129,0.1108832200540656,0.105636344651274,0.13988514174032884,0.06024371487311256
f1_max_dt_puhd,0.06526296319599713,0.0829959549252234,0.020518895907993814,0.28705236417915103,0.08394359592428768,0.04532062752180432,0.1108832200540656,0.09461772866966169,0.1327994464610631,0.06466118449736492
roc_rf,0.022112904016813036,0.02281782598299459,0.016394036787865843,0.0806218270923168,0.04294221618814076,0.02725108420387101,0.10892975405643596,0.0529030893784452,0.034729499588479526,0.07405723121207976
ap_rf,0.04768897068306429,0.08059007331141473,0.016553729491269008,0.1601576740103436,0.11203723101101892,0.06853590576499663,0.044132615887726045,0.0722447412035216,0.10667366007686037,0.03685420496887872
f1_rf,0.05239668440277795,0.1042610339885988,0.005166973722810719,0.15763195687536397,0.10835243601540848,0.06483685517889161,0.0,0.09911908765918155,0.13970867869257406,0.05753735869556666
f1_ci_rf,0.016769859274158146,0.07687372984086198,0.013454710429346204,0.11765884215321541,0.053780165834421995,0.07565474339258668,0.06440629557912285,0.05507536364429722,0.09011587538948812,0.039325434089028624
f1_max_rf,0.038514382829403136,0.06730227516550344,0.013238331277137675,0.1194186652581235,0.08624822269744027,0.052279056476279596,0.10029569565074174,0.05652566507714863,0.08717217669236738,0.06539685546999613
roc_rf_puhd,0.028882093685950672,0.02219928762318221,0.016094358259038318,0.06827854232257904,0.034280320370514324,0.02409557270560124,0.13501688534967946,0.05955404898174169,0.05328311375303267,0.06212200432417719
ap_rf_puhd,0.05699825038003222,0.06896253946532317,0.01428190603176911,0.16853894873807773,0.10538782260604283,0.04969585387640182,0.052394272601628405,0.08573014460572499,0.10623138569278345,0.04575771813372972
f1_rf_puhd,0.017540036248454762,0.08549841672999628,0.0,0.07453559917545739,0.04668353500119955,0.024401307297484076,0.0,0.054818149926128185,0.07624059026106558,0.0
f1_ci_rf_puhd,0.049551408535121105,0.06519387214669267,0.02644727484944563,0.1300058077149742,0.07278226974435073,0.04451324551198821,0.06492847076971278,0.10008164353630708,0.05650638379280045,0.08290678070494663
f1_max_rf_puhd,0.050072910542840264,0.058420205074032824,0.013735686854572257,0.11460015715553143,0.07658472625754313,0.04761570681842161,0.08533515321775792,0.08054707107787933,0.08978586005950862,0.07197760822456997
roc_srf_puhd,0.02081865471854824,0.03380351525777737,0.012657088590332329,0.06844704633034761,0.03956699839282352,0.02281654194757584,0.10244920334675636,0.05407416111934306,0.04307839540640918,0.0690863655515288
ap_srf_puhd,0.04569698737476324,0.08189035901063284,0.01738339246814503,0.18359395568631867,0.09545134943464599,0.057246153637059344,0.06009293673152096,0.09101849775998197,0.10188176337151773,0.04458077053268885
f1_srf_puhd,0.03116143504996894,0.09600483939187046,0.0034010332861547326,0.1680217023719127,0.08779007238249355,0.04414365656574842,0.0,0.06833624609045877,0.12363677539498513,0.026306682127692844
f1_ci_srf_puhd,0.03535029441797319,0.07679494516719705,0.01826887607683229,0.1526999294196599,0.05984852347356096,0.04009152235693222,0.06564977002353395,0.1048524117104421,0.054680829528147915,0.0637041406682737
f1_max_srf_puhd,0.03367825547584669,0.06226983291813173,0.011964765809889073,0.13596741568878656,0.062411550118848455,0.040850029364740775,0.11864423526722412,0.08632198969367744,0.08221295443060991,0.07364693655702292
roc_pubag,0.02072317418743834,0.0010438563186164105,0.012839333998187255,0.07575605445816948,0.054625355469206834,0.017552263078610273,0.10770275397902726,0.07435166213247589,0.026097882787343336,0.0654786859322322
ap_pubag,0.07312307399307626,0.0668419625602539,0.007160689940036759,0.2479857848069979,0.07487335899688213,0.0615313675470767,0.06345672084077975,0.07728814804566574,0.10439980210218092,0.04289615484577969
f1_pubag,0.025714186456748746,0.11187620415727557,0.0052896675251959836,0.3207090461809743,0.013135893323115107,0.0392650799484788,0.031733087793886464,0.0479122643693195,0.0853352259536344,0.027220492260045803
f1_ci_pubag,0.006504182512172724,0.013346690354563295,0.005079150351456334,0.3741018680166136,0.006907353463455236,0.01942590191153395,0.007529779486088604,0.015801450609996513,0.01748486287022798,0.008391924719732989
f1_max_pubag,0.05823610865496524,0.04463630082208238,0.008964677938910287,0.18378781964770677,0.08142885130441978,0.06238110232239526,0.09371825917848146,0.06669066377771188,0.06596120141025223,0.0734702462933115
roc_elkno,0.09539173021969893,0.170018648221766,0.15066448483523476,0.30838517102590574,0.11321307689308883,0.25511787240968986,0.15861105495544067,0.13766354003401188,0.21762696589482608,0.13327365877965705
ap_elkno,0.05392281619146135,0.1872566351411716,0.03477504208220931,0.2592187858721912,0.028607806025623062,0.11731301817475841,0.07050094843885767,0.09494126741847325,0.18947133011297845,0.02979777826953088
f1_elkno,0.02130872986843464,0.0,0.0,0.14444434340811793,0.0,0.0,0.0,0.04737149262962626,0.08900962393481861,0.0
f1_ci_elkno,0.02174334569836367,0.11179338412418797,0.0,0.24509561528522067,0.0,0.01746101575176808,0.0,0.06023538046713513,0.19169459404861364,0.0
f1_max_elkno,0.07788237591520136,0.13888116373732357,0.06437335442122746,0.20649898763109198,0.020282712227018062,0.03865637440937759,0.0447213595499958,0.09927101974179087,0.21690314513923117,0.022643726402546166
roc_spyem,0.09153405894449566,0.027712790840533137,0.06547166087612445,0.17404739747116607,0.08892835434275546,0.03450856525395816,0.1444782263613106,0.16084625863371968,0.13237645168495232,0.1008706154571153
ap_spyem,0.06068423186981339,0.13910196950832138,0.02603196277688568,0.02795260856757289,0.1325715118911636,0.054143665044139824,0.0506695972434146,0.06963685441614763,0.31424082685353183,0.06114560125695044
f1_spyem,0.01005292901777456,0.09757924100582548,0.03719724893637713,0.04175422704980058,0.15005107323811315,0.07702236833290398,0.06423104646780087,0.09287265162528709,0.13795332415301564,0.02856134746333568
f1_ci_spyem,0.009862448638415799,0.047354691341595735,0.031356673719824174,0.03355652514952617,0.14284839987118117,0.038788808630659775,0.05707586782751889,0.09156469551559648,0.090725916271761,0.03647097137632685
f1_max_spyem,0.010469397059822663,0.11000692902101351,0.041136900990145414,0.04618850668951946,0.13830482516042872,0.07555847252018671,0.06950092427513992,0.09358207609908788,0.20710005301216625,0.04426285369378361
roc_rnkpr,0.02416564469998296,0.028853180933267296,0.01434441073716586,0.19273670526676,0.05104149563916704,0.02139534371078498,0.11263944107529095,0.09750144688490274,0.05784163778603427,0.058619712229696364
ap_rnkpr,0.06325456684895821,0.10183863811352595,0.013390726124696689,0.24944825138426321,0.03971357436465249,0.05410976133988201,0.04660856452219714,0.06114443246934755,0.14908846897582653,0.0646054074783584
f1_rnkpr,0.05714390423558236,0.09258004782456508,0.013076796589269205,0.2598103426196441,0.02861562992966245,0.04987468517538678,0.09682577281509559,0.08528347593118728,0.13458695165419393,0.056915943634764606
f1_ci_rnkpr,0.02991553260576484,0.09323484285548025,0.010374433585718962,0.2692706917786662,0.013781855807805039,0.054780956819344175,0.08355774745403423,0.08612103827279695,0.1380671927379856,0.03983434450935927
f1_max_rnkpr,0.058522644719057944,0.08780881177080295,0.01434415359021898,0.255463876255871,0.04965147119244591,0.045491167893827525,0.10521927550572446,0.08909178226642127,0.1404577830365826,0.07857781003523734
roc_welog,0.02434433707971017,0.01832005998293777,0.0136959959181389,0.24273975122191463,0.050597660643963004,0.01999055147325742,0.11407028575583894,0.11946108597847684,0.04293994167527077,0.061470696957328874
