data_partition,dataset,flip_ratio,label_noise,roc_upu,ap_upu,f1_upu,f1_ci_upu,f1_max_upu,roc_nnpu,ap_nnpu,f1_nnpu,f1_ci_nnpu,f1_max_nnpu,roc_imbnnpu,ap_imbnnpu,f1_imbnnpu,f1_ci_imbnnpu,f1_max_imbnnpu,roc_dt_hd,ap_dt_hd,f1_dt_hd,f1_ci_dt_hd,f1_max_dt_hd,roc_dt_puhd,ap_dt_puhd,f1_dt_puhd,f1_ci_dt_puhd,f1_max_dt_puhd,roc_rf,ap_rf,f1_rf,f1_ci_rf,f1_max_rf,roc_rf_puhd,ap_rf_puhd,f1_rf_puhd,f1_ci_rf_puhd,f1_max_rf_puhd,roc_srf_puhd,ap_srf_puhd,f1_srf_puhd,f1_ci_srf_puhd,f1_max_srf_puhd,roc_pubag,ap_pubag,f1_pubag,f1_ci_pubag,f1_max_pubag,roc_elkno,ap_elkno,f1_elkno,f1_ci_elkno,f1_max_elkno,roc_spyem,ap_spyem,f1_spyem,f1_ci_spyem,f1_max_spyem,roc_rnkpr,ap_rnkpr,f1_rnkpr,f1_ci_rnkpr,f1_max_rnkpr,roc_welog,ap_welog,f1_welog,f1_ci_welog,f1_max_welog
0,chile,0.25,uniform,0.954421941,0.639316777,0.585365854,0.474074074,0.642424242,0.968042194,0.763221391,0.593220339,0.670807453,0.686567164,0.968118143,0.769814443,0.627118644,0.662721893,0.7,0.851561181,0.348767148,0.24742268,0.422907489,0.5,0.836873418,0.380634936,0.431034483,0.403508772,0.493150685,0.964122363,0.712987891,0.609375,0.180346821,0.659340659,0.956097046,0.700837629,0.350515464,0.428134557,0.68115942,0.963734177,0.729881968,0.513761468,0.340229885,0.701986755,0.857843882,0.314555793,0.273127753,0.153681964,0.469879518,0.809793249,0.418111977,0.095295537,0.095295537,0.095353048,0.628413502,0.103238773,0.102564103,0.100549882,0.103592314,0.841924051,0.433717375,0.463414634,0.243137255,0.482269504,0.853375527,0.409070971,0.295,0.129032258,0.479532164
0,chile,0.5,uniform,0.895109705,0.437333115,0.432900433,0.368600683,0.497297297,0.950793249,0.613254569,0.260869565,0.546875,0.569536424,0.948953586,0.636464252,0.315789474,0.544117647,0.578512397,0.817075949,0.354698669,0.096385542,0.374100719,0.447204969,0.84214346,0.375233684,0.263736264,0.390410959,0.390410959,0.910907173,0.648206431,0.411764706,0.182941904,0.61038961,0.919962025,0.599061244,0.049382716,0.491935484,0.675675676,0.93857384,0.606217894,0.141176471,0.412790698,0.601036269,0.903046414,0.366518224,0.26984127,0.134011874,0.480519481,0.707983122,0.163126546,0,0,0.095410628,0.49850211,0.050454858,0.088039867,0.089795918,0.091279544,0.890337553,0.414993876,0.4,0.225755167,0.442622951,0.88342616,0.366943578,0.295652174,0.114243323,0.406593407
0,chile,0.75,uniform,0.841278481,0.323103278,0.381443299,0.355140187,0.404371585,0.923139241,0.55868561,0.073170732,0.3125,0.448,0.923021097,0.519728316,0.073170732,0.32,0.496124031,0.805687764,0.298198825,0.024390244,0.475,0.475,0.761755274,0.240196993,0,0.412903226,0.412903226,0.89685654,0.503011598,0.096385542,0.241610738,0.528735632,0.876523207,0.48860704,0,0.552631579,0.552631579,0.89856962,0.521663448,0,0.492307692,0.558823529,0.849025316,0.430163167,0.245967742,0.116331096,0.418918919,0.664919831,0.178682459,0,0.025,0.166666667,0.601953586,0.067555616,0.103811841,0.102318145,0.106312292,0.800869198,0.297710389,0.335329341,0.24,0.353741497,0.797848101,0.269723111,0.255555556,0.137931034,0.380952381
0,cover,0.25,uniform,0.96666628,0.911701482,0.928571429,0.736842105,0.928571429,0.999907148,0.991052079,0.862745098,0.933333333,0.945454545,0.99983751,0.983585281,0.862745098,0.950819672,0.950819672,0.94802052,0.848974822,0.867924528,0.912280702,0.912280702,0.982445247,0.907243605,0.909090909,0.965517241,0.965517241,0.99980269,0.978313832,0.931034483,0.394557823,0.966666667,0.999866526,0.985428482,0.791666667,0.4,0.966666667,0.999860723,0.983828128,0.872727273,0.495726496,0.966666667,0.999663413,0.935483871,0.878787879,0.184713376,0.966666667,0.999918755,0.991743254,0.928571429,0.310160428,0.965517241,0.996494853,0.674456519,0.549019608,0.224806202,0.712328767,0.999907148,0.990363944,0.949152542,0.949152542,0.949152542,0.999895542,0.988825437,0.935483871,0.475409836,0.966666667
0,cover,0.5,uniform,0.987360578,0.877348508,0.8,0.757575758,0.842105263,0.980280644,0.950297472,0.473684211,0.947368421,0.947368421,0.970809782,0.936137523,0.432432432,0.947368421,0.947368421,0.827586207,0.658505747,0.242424242,0.791666667,0.791666667,0.91362481,0.796149425,0.888888889,0.888888889,0.888888889,0.999646003,0.919865412,0.75,0.371794872,0.949152542,0.999709839,0.95506837,0.388888889,0.597938144,0.950819672,0.99962279,0.932394593,0.604651163,0.522522523,0.950819672,0.999634397,0.930259116,0.734177215,0.148337596,0.950819672,0.999721445,0.975466465,0.066666667,0.763157895,0.888888889,0.986791862,0.492211998,0.41025641,0.19269103,0.59375,0.999489316,0.909067885,0.807692308,0.807692308,0.807692308,0.999860723,0.984612194,0.950819672,0.351515152,0.966666667
0,cover,0.75,uniform,0.965702945,0.730007726,0.741935484,0.602409639,0.807017544,0.978017386,0.881223131,0.294117647,0.745098039,0.745098039,0.971303056,0.84431899,0.129032258,0.814814815,0.814814815,0.827261226,0.599392447,0.066666667,0.76,0.76,0.896215137,0.731655172,0,0.851851852,0.851851852,0.999326826,0.862690069,0.41025641,0.397260274,0.933333333,0.981690827,0.785512268,0,0.622222222,0.851851852,0.99875811,0.790684182,0.125,0.644444444,0.896551724,0.999396465,0.905078225,0.532110092,0.07483871,0.892857143,0.791199991,0.130457378,0,0,0,0.975405936,0.516452464,0.5,0.225352113,0.634920635,0.999408071,0.947287404,0.892857143,0.848484848,0.912280702,0.998131362,0.888751984,0.881355932,0.3625,0.892857143
0,fraud_car_insur,0.25,uniform,0.819194247,0.209695789,0.195945946,0.261437908,0.266094421,0.815738771,0.188732772,0.059701493,0.245614035,0.26993865,0.809877857,0.174884236,0.051020408,0.235514019,0.244623656,0.802026202,0.147151833,0.010989011,0.248163265,0.248163265,0.810297478,0.172120524,0.053475936,0.250814332,0.250814332,0.788251576,0.164163551,0.010989011,0.210850801,0.23268206,0.800219661,0.186142203,0.011049724,0.231686542,0.250549451,0.826584909,0.194373931,0.032786885,0.23125438,0.271111111,0.77483747,0.126237533,0.222788033,0.22264631,0.226537217,0.743680063,0.147005211,0,0,0.178313253,0.684964539,0.091841274,0.102189781,0.105263158,0.10952381,0.826298266,0.184516522,0.23571945,0.205455601,0.275668073,0.830778172,0.190673253,0.235724744,0.143312102,0.275290216
0,fraud_car_insur,0.5,uniform,0.788374704,0.202192186,0.217090069,0.247718383,0.254501801,0.776404649,0.166804409,0.059701493,0.170798898,0.212518195,0.770971237,0.173505922,0.061538462,0.194070081,0.21992238,0.775335894,0.155268772,0.043478261,0.228019324,0.228019324,0.774660165,0.147279338,0.043010753,0.227579556,0.227579556,0.784250394,0.155830483,0.021505376,0.225460123,0.236220472,0.784079984,0.207227862,0,0.249017038,0.249723757,0.805265957,0.18143461,0.011049724,0.255879586,0.258519389,0.765276793,0.123249657,0.217948718,0.218112245,0.222069911,0.686530733,0.095776176,0,0,0.134892788,0.756378054,0.128057114,0.157176471,0.155638397,0.204656863,0.781193853,0.151223095,0.235078053,0.213959556,0.245026178,0.783339243,0.15156649,0.225680934,0.166830226,0.24040404
0,fraud_car_insur,0.75,uniform,0.751375099,0.165285959,0.183333333,0.20890937,0.213903743,0.744454295,0.155822626,0.010810811,0.159695817,0.225287356,0.744958629,0.144750592,0.010928962,0.131386861,0.214574899,0.749136131,0.134750499,0.021978022,0.021978022,0.234982332,0.757380812,0.136395798,0,0.042553191,0.236521739,0.724714342,0.118888422,0,0.206809584,0.208823529,0.705735816,0.11906574,0,0.163265306,0.208092486,0.745116233,0.151543996,0,0.249134948,0.249134948,0.76820134,0.125779883,0.216112532,0.215836526,0.227074236,0.686871552,0.111499363,0,0,0,0.762948188,0.139517898,0.155285313,0.155188246,0.156643357,0.774846336,0.146170209,0.221653879,0.209646302,0.229568411,0.781918834,0.15006707,0.224572823,0.166427547,0.23723229
0,fraud_creditcard,0.25,uniform,0.943105175,0.475785208,0.285714286,0.129032258,0.5,0.88687813,0.30059453,0,0.258064516,0.444444444,0.898230384,0.586371748,0,0.153846154,0.615384615,0.699766277,0.267666667,0.5,0.5,0.5,0.499499165,0.001666667,0,0,0,0.8878798,0.609222222,0.571428571,0.022222222,0.6,0.896761269,0.800333333,0,0.075471698,0.888888889,0.896661102,0.653666667,0,0.079207921,0.727272727,0.895926544,0.193458828,0.039408867,0.004814636,0.380952381,0.708213689,0.132967507,0,0.027027027,0.222222222,0.846644407,0.026061884,0.044444444,0.037558685,0.048484848,0.77245409,0.361164934,0.352941176,0.352941176,0.352941176,0.743338898,0.300666667,0.333333333,0.315789474,0.352941176
